NMB0001	NGO_1928	96.951	164	5	0	1	164	1	164	1.06e-118	328
NMB0002	NGO_1927	89.394	132	14	0	1	132	1	132	4.97e-84	238
NMB0003	NGO_1926	95.054	465	23	0	1	465	1	465	0.0	915
NMB0003	NGO_1611	35.656	244	146	6	6	247	5	239	5.16e-42	147
NMB0003	NGO_1218	26.267	217	129	7	3	203	29	230	2.14e-12	64.7
NMB0004	NGO_1925	98.592	213	3	0	1	213	1	213	1.44e-156	428
NMB0005	NGO_1924	95.763	118	5	0	1	118	1	118	1.31e-78	223
NMB0006	NGO_1923	96.528	144	5	0	18	161	18	161	4.14e-106	296
NMB0006	NGO_2059	30.769	52	36	0	30	81	45	96	1.00e-04	37.4
NMB0006	NGO_0652	30.952	42	28	1	45	86	26	66	5.15e-04	33.9
NMB0007	NGO_1922	98.157	217	4	0	1	217	1	217	7.93e-159	434
NMB0007	NGO_0770	42.601	223	116	8	1	215	5	223	7.75e-46	148
NMB0007	NGO_2137	35.909	220	136	2	1	215	22	241	1.50e-42	140
NMB0007	NGO_0269	29.630	216	149	3	1	215	1	214	3.61e-35	121
NMB0007	NGO_1439	30.594	219	147	3	1	215	3	220	6.98e-34	123
NMB0007	NGO_0374	34.975	203	124	4	1	196	1	202	1.56e-33	117
NMB0007	NGO_0445	30.317	221	140	4	2	215	3	216	4.74e-30	110
NMB0007	NGO_2013	29.302	215	147	4	1	213	3	214	2.41e-29	105
NMB0007	NGO_2039	33.728	169	106	2	1	169	1	163	8.26e-29	106
NMB0007	NGO_0192	31.000	200	132	2	17	215	27	221	2.03e-28	106
NMB0007	NGO_2116	30.964	197	133	3	2	196	7	202	4.19e-27	100
NMB0007	NGO_0215	29.851	201	135	4	18	215	20	217	4.61e-23	91.3
NMB0007	NGO_1732	33.188	229	127	8	2	215	364	581	1.98e-22	90.9
NMB0007	NGO_2165	28.634	227	136	7	2	215	376	589	2.03e-19	82.0
NMB0007	NGO_1399	26.389	216	143	4	2	213	16	219	4.22e-19	79.7
NMB0007	NGO_2088	26.923	208	144	4	13	216	12	215	2.99e-16	71.2
NMB0007	NGO_1605	26.344	186	133	2	16	199	21	204	2.91e-15	68.2
NMB0007	NGO_1434	29.442	197	114	7	18	211	18	192	7.92e-15	67.0
NMB0007	NGO_0170	24.752	202	142	3	17	216	27	220	1.16e-12	61.2
NMB0007	NGO_0870	24.569	232	122	6	18	215	19	231	1.93e-12	61.6
NMB0007	NGO_0870	24.468	188	101	6	25	200	342	500	2.26e-09	52.4
NMB0007	NGO_00680	42.466	73	39	1	15	87	183	252	3.65e-12	59.7
NMB0007	NGO_0764	25.926	216	133	9	2	210	324	519	3.39e-11	57.8
NMB0007	NGO_0764	24.215	223	138	7	18	213	17	235	4.08e-11	57.8
NMB0007	NGO_1573	28.241	216	121	9	1	208	326	515	1.63e-10	55.8
NMB0007	NGO_1573	23.305	236	145	8	6	213	11	238	2.08e-10	55.5
NMB0007	NGO_0781	26.852	216	135	8	1	215	312	505	1.66e-10	55.8
NMB0007	NGO_0781	22.477	218	139	6	18	215	17	224	2.02e-07	46.6
NMB0007	NGO_00685	45.714	35	19	0	137	171	23	57	4.71e-05	37.0
NMB0008	NGO_1921	96.405	306	11	0	1	306	1	306	0.0	603
NMB0009	NGO_1920	95.181	83	4	0	1	83	1	83	1.32e-53	157
NMB0009	NGO_1657	41.379	58	33	1	26	83	37	93	3.67e-08	42.7
NMB0010	NGO_1919	95.750	400	6	1	1	400	1	389	0.0	754
NMB0011	NGO_1918	97.608	418	10	0	1	418	1	418	0.0	820
NMB0012	NGO_1917	96.875	320	10	0	1	320	1	320	0.0	621
NMB0012	NGO_1059	27.891	147	93	5	84	230	15	148	8.10e-04	36.6
NMB0013	NGO_1916	96.667	150	5	0	1	150	1	150	1.50e-101	283
NMB0014	NGO_1915	96.934	424	13	0	1	424	1	424	0.0	850
NMB0015	NGO_1914	96.273	483	18	0	1	483	1	483	0.0	959
NMB0017	NGO_2065	96.753	308	10	0	1	308	1	308	0.0	608
NMB0018	NGO_11165	77.419	124	25	2	46	167	1	123	5.96e-64	189
NMB0018	NGO_11140	70.922	141	36	4	28	167	1	137	4.10e-63	187
NMB0018	NGO_11115	68.750	144	42	3	28	171	1	141	7.33e-63	186
NMB0018	NGO_10985	68.493	146	40	5	28	171	1	142	1.06e-61	183
NMB0018	NGO_07995	72.868	129	32	2	46	171	1	129	1.10e-61	183
NMB0018	NGO_11130	76.000	125	27	2	46	169	1	123	2.94e-60	184
NMB0018	NGO_11130	71.545	123	28	3	50	171	137	253	3.70e-51	160
